TIPO_REC,P001,P002,P003,P007X,P008,NPRIN,P042_01,P042_03,P042_04,P043,P044_01
06,01,01,01,00101,0073,2869989,1,10,2614,2,0.08
06,01,01,01,00101,0074,2869949,1,6,2614,2,0.2
06,01,01,01,00101,0075,3206156,1,4,2614,2,0.15
06,01,01,01,00101,0075,3206156,2,10,2107,2,0.01
06,01,01,01,00101,0076,3206157,1,11,2107,2,0.8
06,01,01,01,00101,0076,3206157,2,11,2108,2,1.0
06,01,01,01,00101,0077,2869967,1,11,2107,2,0.25
06,01,01,01,00101,0077,2869967,2,3,2614,2,0.25
06,01,01,01,00101,0077,2869967,3,3,2406,2,0.25
06,01,01,01,00101,0078,2869990,1,10,2107,2,1.0
06,01,01,01,00101,0079,3205541,1,3,2614,2,0.01
06,01,01,01,00101,0079,3205541,2,11,2108,2,0.25
06,01,01,01,00101,0079,3205541,3,5,2401,2,0.01
06,01,01,01,00101,0080,3205549,1,10,2108,2,0.1
06,01,01,01,00101,0081,3205550,1,8,2113,2,0.1
06,01,01,01,00101,0081,3205550,2,11,2108,2,0.25
06,01,01,01,00101,0081,3205550,3,8,2401,2,0.15
06,01,01,01,00101,0082,3207008,1,10,2108,2,0.11
06,01,01,01,00101,0082,3207008,2,11,2614,2,0.12
06,01,01,01,00101,0082,3207008,3,5,2401,2,0.25
06,01,01,01,00101,0082,3207008,4,10,2107,2,0.12
06,01,01,01,00101,0082,3207008,5,11,2611,2,0.13
06,01,01,01,00101,0083,3207009,1,4,2614,2,0.25
06,01,01,01,00101,0083,3207009,2,4,2401,2,0.5
06,01,01,01,00101,0083,3207009,3,12,2108,2,2.0
06,01,01,01,00101,0084,3207011,1,10,2107,2,0.2
06,01,01,01,00101,0085,3205542,1,11,2107,2,0.25
06,01,01,01,00101,0086,3205543,1,10,2108,2,1.0
06,01,01,01,00101,0086,3205543,2,7,2614,2,0.25
06,01,01,01,00101,0087,3205544,1,3,2614,2,0.13
06,01,01,01,00101,0087,3205544,2,11,2107,2,0.11
06,01,01,01,00101,0088,3205545,1,11,2108,2,0.25
06,01,01,01,00101,0088,3205545,2,8,2614,2,0.25
06,01,01,01,00101,0089,3205547,1,11,2108,2,0.5
06,01,01,01,00101,0089,3205547,2,9,2614,2,1.0
06,01,01,01,00101,0090,3207003,1,10,2107,2,0.25
06,01,01,01,00101,0091,3207002,1,11,2108,2,0.25
06,01,01,01,00101,0092,2869901,1,11,2107,2,0.1
06,01,01,01,00101,0093,3207012,1,11,2107,2,0.5
06,01,01,01,00101,0094,3207013,1,10,2614,2,0.13
06,01,01,01,00101,0095,3207014,1,8,4211,2,0.25
06,01,01,01,00101,0096,3207015,1,3,2614,2,0.5
06,01,01,01,00101,0096,3207015,2,11,2108,2,0.5
06,01,01,01,00101,0097,3207017,1,10,2108,2,2.0
06,01,01,01,00101,0098,3207018,1,10,2107,2,0.12
06,01,01,01,00101,0098,3207018,2,7,2609,2,0.4
06,01,01,01,00101,0099,3206153,1,7,2614,2,0.25
06,01,01,01,00101,0099,3206153,2,10,2108,2,0.25
06,01,01,01,00101,0099,3206153,3,3,2319,2,0.15
06,01,01,01,00101,0099,3206153,4,4,2401,2,0.1
06,01,01,01,00101,0100,2869911,1,6,2614,2,0.25
06,01,01,01,00101,0101,3207001,1,10,2611,2,0.11
06,01,01,01,00101,0101,3207001,2,10,2108,2,0.5
06,01,01,01,00101,0102,3207004,1,2,2401,2,0.15
06,01,01,01,00101,0102,3207004,2,11,2107,2,0.1
06,01,01,01,00101,0103,3207005,1,10,2107,2,0.1
06,01,01,01,00101,0104,3207019,1,11,2108,2,0.25
06,01,01,01,00101,0105,3207006,1,11,2108,2,0.2
06,01,01,01,00101,0106,3207007,1,4,2401,2,1.0
06,01,01,01,00101,0106,3207007,2,11,2108,2,2.0
06,01,01,01,00101,0107,2869903,1,5,2113,2,0.25
06,01,01,01,00101,0107,2869903,2,5,2611,2,0.25
06,01,01,01,00101,0107,2869903,3,5,2614,2,0.25
06,01,01,01,00101,0108,2869904,1,11,2108,2,0.5
06,01,01,01,00101,0109,2869905,1,11,2107,2,0.5
06,01,01,01,00101,0110,2869906,1,11,2107,2,0.25
