TIPO_REC,P001,P002,P003,P007X,P008,NPRIN,P023_01,P023_04,P023_07
02,01,01,06,00101,0089,2401600,1,3.0,130304
02,01,01,06,00101,0093,2401598,1,1.0,130305
02,01,01,06,00101,0093,2401598,2,1.5,060308
02,01,01,06,00101,0096,2401660,1,8.0,010103
02,01,01,06,00101,0102,2401596,1,1.0,130304
02,01,01,06,00101,0104,2401593,1,6.0,060303
02,01,01,06,00102,0002,2401675,1,1.0,010103
02,01,01,06,00102,0006,2404932,1,0.5,010103
02,01,01,06,00102,0014,3127418,1,3.0,010103
02,01,01,06,00102,0028,3127410,1,1.0,010103
02,01,01,06,00102,0039,2406517,1,0.5,010103
02,01,01,06,00102,0041,2406520,1,2.0,010103
02,01,01,06,00102,0046,2404938,1,1.0,010103
02,01,01,06,00102,0055,2401638,1,0.5,010103
02,01,01,06,00102,0064,2401628,1,0.5,010103
02,01,01,06,00102,0078,2401702,1,1.0,010103
02,01,01,06,00102,0087,2401668,1,1.5,010103
02,01,01,06,00104,0009,2406431,1,5.0,130305
02,01,01,06,00105,0006,2772545,1,1.0,010110
02,01,01,06,00105,0010,2772549,1,0.5,010110
02,01,01,06,00105,0010,2772549,2,1.0,010110
02,01,01,06,00105,0011,2772550,1,60.0,010110
02,01,01,06,00105,0012,2772551,1,3.0,010110
02,01,01,06,00105,0013,2772552,1,1.0,010110
02,01,01,06,00105,0014,2772553,1,0.5,010110
02,01,01,06,00105,0015,2772554,1,0.0,010110
02,01,01,06,00105,0016,2772555,1,0.06,010110
02,01,01,06,00105,0018,2772557,2,1.0,010110
02,01,01,06,00105,0018,2772557,1,0.5,010110
02,01,01,06,00105,0020,2772560,1,1.0,010110
02,01,01,06,00105,0021,3127441,1,1.5,010110
02,01,01,06,00105,0022,3127443,1,1.5,010110
02,01,01,06,00105,0024,3127446,1,1.66,010110
02,01,01,06,00105,0025,3127448,1,0.07,010110
02,01,01,06,00105,0028,3127442,1,2.0,010110
02,01,01,06,00105,0030,3127452,1,0.25,010110
02,01,01,06,00105,0031,3127453,1,2.0,010110
02,01,01,06,00105,0083,3065546,2,0.25,060305
02,01,01,06,00105,0083,3065546,3,0.04,060305
02,01,01,06,00105,0083,3065546,4,1.0,060305
02,01,01,06,00105,0083,3065546,1,0.5,060305
02,01,01,06,00106,0013,2400777,1,1.0,130301
02,01,01,06,00106,0018,2924615,1,0.5,130301
02,01,01,06,00106,0023,3367762,1,4.0,010602
02,01,01,06,00106,0034,2924764,1,3.0,130301
02,01,01,06,00106,0049,2401783,1,6.0,999999
02,01,01,06,00106,0053,2401781,1,3.0,130301
02,01,01,06,00107,0012,3367786,1,6.0,010602
02,01,01,06,00107,0040,2924734,1,1.5,010602
02,01,01,06,00107,0045,2924732,1,0.2,010602
02,01,01,06,00107,0069,3410822,1,1.0,999999
02,01,01,06,00107,0087,3638552,1,0.5,060301
02,01,01,07,00100,0002,3365102,1,30.0,999999
02,01,01,07,00100,0009,3365109,1,10.0,010116
02,01,01,07,00100,0014,3365114,1,62.0,220105
02,01,01,07,00100,0019,3365119,1,4.0,010117
02,01,01,07,00100,0036,2772036,1,3.0,010117
02,01,01,07,00100,0041,2772061,1,4.0,999999
02,01,01,07,00100,0044,2772064,1,0.05,010101
02,01,01,07,00100,0054,2772074,1,2.0,010117
02,01,01,07,00100,0080,3365192,1,0.75,010607
02,01,01,07,00100,0081,3365193,1,4.0,010114
02,01,01,07,00100,0099,3365163,1,1.0,010117
02,01,01,08,00100,0083,2869781,1,1.5,010113
02,01,01,09,00100,0022,3365919,1,8.0,010604
02,01,01,09,00100,0121,3365873,1,1.0,010119
02,01,01,09,00100,0122,2924550,1,1.0,010112
02,01,01,09,00100,0134,3365893,1,18.0,010602
02,01,01,09,00100,0142,3365882,1,1.5,010609
02,01,01,09,00100,0150,3365862,1,40.0,010605
02,01,01,09,00202,0039,3367540,1,1.75,220303
02,01,01,09,00202,0041,3367528,1,2.0,010602
02,01,01,09,00202,0072,2924507,1,1.5,999999
02,01,01,09,00301,0008,3364500,1,2.0,010112
02,01,01,09,00301,0094,3364584,1,5.0,220804
02,01,01,09,00301,0099,3364583,1,3.0,010609
02,01,01,09,00302,0041,3367813,1,1.25,010609
02,01,01,09,00302,0056,3367815,1,2.0,010609
02,01,01,09,00302,0062,3636547,1,3.0,010609
02,01,01,09,00302,0071,3367823,1,4.0,220803
02,01,01,09,00302,0087,3367963,1,0.5,220105
02,01,01,09,00302,0095,3636546,1,7.0,220502
02,01,01,09,00302,0117,3636577,1,3.0,220804
02,01,01,09,00303,0058,3367320,1,5.08,010309
02,01,01,09,00303,0084,3367302,1,7.0,220804
02,01,01,09,00303,0115,3636422,1,15.0,010605
02,01,01,09,00304,0001,3369220,1,1.0,010609
02,01,01,09,00304,0032,3636457,1,6.0,010519
02,01,01,09,00304,0036,3636445,1,15.0,010521
02,01,01,09,00304,0045,3636442,1,2.0,010519
02,01,01,09,00304,0053,3636468,1,3.0,010519
02,01,01,09,00304,0084,3367871,1,4.0,010113
02,01,01,09,00304,0123,3367884,1,10.0,010609
02,01,01,09,00304,0156,3369305,1,2.0,010113
02,01,01,09,00304,0159,3369210,1,1.0,010113
02,01,01,09,00304,0162,3369303,1,1.5,010113
02,01,01,09,00304,0167,3369308,1,6.0,010113
02,01,01,10,00101,0001,2957216,1,75.0,010517
02,01,01,10,00101,0005,2957215,1,20.0,140308
